x_cg,y_cg,u_dns,v_dns,yw,nut,u_baseline,v_baseline,map_dist
1.125000000003e-01,6.625000000001e-01,7.930740000000e-05,-8.809140000000e-03,1.125000000003e-01,4.131197750336e-06,1.198995326153e-04,-1.722138042154e-02,1.101192648931e-03
1.125000000003e-01,6.875000000000e-01,-3.353090000000e-04,-8.819010000000e-03,1.125000000003e-01,4.869465245074e-06,-1.184774313286e-03,-1.711707753084e-02,4.298098418756e-04
1.125000000003e-01,7.125000000000e-01,-8.952040000000e-04,-8.744800000000e-03,1.125000000003e-01,5.977928148944e-06,-2.570292759806e-03,-1.678526127080e-02,3.408646138890e-03
1.125000000003e-01,7.375000000000e-01,-1.327960000000e-03,-8.629580000000e-03,1.125000000003e-01,7.292927993309e-06,-4.005602603896e-03,-1.621439245395e-02,1.480189261604e-03
1.125000000003e-01,7.625000000000e-01,-1.995750000000e-03,-8.381320000000e-03,1.125000000003e-01,8.683507833374e-06,-5.448042932247e-03,-1.539849641643e-02,1.597582079321e-03
1.125000000003e-01,7.875000000000e-01,-2.682750000000e-03,-8.066290000000e-03,1.125000000003e-01,1.002853602223e-05,-6.837614546771e-03,-1.433774160817e-02,2.173597593871e-03
1.125000000003e-01,8.125000000000e-01,-3.381220000000e-03,-7.710090000000e-03,1.125000000003e-01,1.119774808588e-05,-8.087257571963e-03,-1.303917328192e-02,5.850183758875e-04
1.125000000003e-01,8.375000000000e-01,-4.079450000000e-03,-7.336350000000e-03,1.125000000003e-01,1.205982236057e-05,-9.069274646657e-03,-1.151838358990e-02,3.182014652766e-03
1.125000000003e-01,8.625000000001e-01,-4.982990000000e-03,-6.844760000000e-03,1.125000000003e-01,1.255121807570e-05,-9.599462786535e-03,-9.800225628514e-03,2.616344109712e-03
1.125000000003e-01,8.875000000001e-01,-6.007680000000e-03,-6.282060000000e-03,1.125000000000e-01,1.284558604514e-05,-9.424488305890e-03,-7.916514877749e-03,4.065863993519e-04
