id,x,y,z,yw,elvol,h_cell,eta_h
1250,-3.9800000000000000e+00,2.0000000000000000e-02,0.0000000000000000e+00,2.0000000000000000e-02,1.6000000000000001e-03,4.0000000000000001e-02,4.0816326530612249e-02
1274,-3.9800000000000000e+00,9.7999999999999998e-01,0.0000000000000000e+00,2.0000000000000000e-02,1.6000000000000001e-03,4.0000000000000001e-02,4.0816326530612249e-02
1275,-3.9399999999999999e+00,2.0000000000000000e-02,0.0000000000000000e+00,2.0000000000000000e-02,1.6000000000000001e-03,4.0000000000000001e-02,4.0816326530612249e-02
1299,-3.9399999999999999e+00,9.7999999999999998e-01,0.0000000000000000e+00,2.0000000000000000e-02,1.6000000000000001e-03,4.0000000000000001e-02,4.0816326530612249e-02
1300,-3.8999999999999999e+00,2.0000000000000000e-02,0.0000000000000000e+00,2.0000000000000000e-02,1.6000000000000001e-03,4.0000000000000001e-02,4.0816326530612249e-02
1324,-3.8999999999999999e+00,9.7999999999999998e-01,0.0000000000000000e+00,2.0000000000000000e-02,1.6000000000000001e-03,4.0000000000000001e-02,4.0816326530612249e-02
1349,-3.8599999999999999e+00,9.7999999999999998e-01,0.0000000000000000e+00,2.0000000000000000e-02,1.6000000000000001e-03,4.0000000000000001e-02,4.0816326530612249e-02
1325,-3.8599999999999999e+00,2.0000000000000000e-02,0.0000000000000000e+00,2.0000000000000000e-02,1.6000000000000001e-03,4.0000000000000001e-02,4.0816326530612249e-02
1374,-3.8199999999999998e+00,9.7999999999999998e-01,0.0000000000000000e+00,2.0000000000000000e-02,1.5999999999998999e-03,3.9999999999998752e-02,4.0816326530610972e-02
1350,-3.8199999999999998e+00,2.0000000000000000e-02,0.0000000000000000e+00,2.0000000000000000e-02,1.6000000000000001e-03,4.0000000000000001e-02,4.0816326530612249e-02
1399,-3.7799999999999998e+00,9.7999999999999998e-01,0.0000000000000000e+00,2.0000000000000000e-02,1.6000000000000001e-03,4.0000000000000001e-02,4.0816326530612249e-02
1375,-3.7799999999999998e+00,2.0000000000000000e-02,0.0000000000000000e+00,2.0000000000000000e-02,1.6000000000000001e-03,4.0000000000000001e-02,4.0816326530612249e-02
1400,-3.7400000000000002e+00,2.0000000000000000e-02,0.0000000000000000e+00,2.0000000000000000e-02,1.6000000000000001e-03,4.0000000000000001e-02,4.0816326530612249e-02
1424,-3.7400000000000002e+00,9.7999999999999998e-01,0.0000000000000000e+00,2.0000000000000000e-02,1.6000000000000001e-03,4.0000000000000001e-02,4.0816326530612249e-02
1449,-3.7000000000000002e+00,9.7999999999999998e-01,0.0000000000000000e+00,2.0000000000000000e-02,1.6000000000000001e-03,4.0000000000000001e-02,4.0816326530612249e-02
