id,x,y,z,volume,yw,U,V,W
        2086, -1.033441659648100E-01,  1.671677583517100E+00,  4.384933014774600E+00,  1.166286801427600E-03,  8.896891313538901E-01, -1.882686845643357E-03, -7.336256044696499E-02,  6.673586444802988E-02
        2087, -6.618576107722200E-02,  1.665865118607900E+00,  4.398214433356400E+00,  7.563957873747000E-04,  9.086340477949100E-01, -1.062195277839441E-03, -7.697361108235232E-02,  6.593628287301515E-02
        2088, -1.033391565488400E-01,  1.983734968259900E+00,  4.385007601454400E+00,  1.138807312115500E-03,  7.015158016726700E-01, -5.112751473232106E-03, -1.013414703798922E-01,  9.035139872946782E-02
        2089, -6.618090149163500E-02,  1.975695682885300E+00,  4.398263109235800E+00,  7.381483712199000E-04,  7.239199907642800E-01, -3.094979487653581E-03, -1.063116393198588E-01,  9.068953048610318E-02
        2090, -1.033342026422600E-01,  2.287990918154900E+00,  4.385080323176200E+00,  1.111930844643300E-03,  4.611586897420200E-01,  7.285933153118086E-04, -1.555280105707552E-01,  1.122881260811478E-01
        2091, -6.617614015368700E-02,  2.277780482828200E+00,  4.398310568121100E+00,  7.203227843285000E-04,  4.747449624457200E-01,  1.529872926087623E-03, -1.594673918084730E-01,  1.142567084158645E-01
        2092, -1.033293063004100E-01,  2.584640469391400E+00,  4.385151226503100E+00,  1.085646547923600E-03,  2.839163783175900E-01, -9.891661639622785E-03, -2.416146261344014E-01,  1.653146625995770E-01
        2093, -6.617147575487600E-02,  2.572313162860700E+00,  4.398356840417100E+00,  7.029102958696000E-04,  2.857288784376500E-01, -7.282350663366463E-03, -2.442759008467722E-01,  1.671183064687847E-01
        2094, -1.033244689777800E-01,  2.873873781929000E+00,  4.385220357305200E+00,  1.059943627062000E-03,  9.230473641203900E-02, -8.216856409881873E-03, -2.911908131248399E-01,  2.185363163958031E-01
        2095, -6.616690683626000E-02,  2.859482525973800E+00,  4.398401955925100E+00,  6.859022911704000E-04,  8.734606860060400E-02, -5.651103373559358E-03, -2.905812334364382E-01,  2.146959891959577E-01
        2096,  1.033569108969000E-01,  1.071428571428600E-01,  4.384738327198300E+00,  7.878135780173000E-04,  2.672207761981600E-01, -1.897828725789490E-01, -3.641155943936831E-01, -9.348018085204469E-02
        2097,  6.619833537833100E-02,  1.071428571428600E-01,  4.398087378907400E+00,  5.153839513021000E-04,  2.850456365224300E-01, -1.291294535256169E-01, -4.286688105954229E-01, -9.510564052280022E-02
        2098,  1.033569108969000E-01,  3.214285714285700E-01,  4.384738327198300E+00,  7.878135780173000E-04,  4.040342534065900E-01, -1.887523547778474E-02, -1.132347400991215E-01, -1.285221965973693E-01
        2099,  6.619833537833100E-02,  3.214285714285700E-01,  4.398087378907400E+00,  5.153839513021000E-04,  4.160381588200200E-01, -1.385946451023305E-02, -1.216317759934731E-01, -1.308449934091524E-01
        2100,  1.033569108969000E-01,  5.357142857142900E-01,  4.384738327198300E+00,  7.878135780173000E-04,  5.889967294591500E-01, -4.061226910376950E-03, -6.656668393145149E-02, -1.011342826710255E-01
        2101,  6.619833537833100E-02,  5.357142857142900E-01,  4.398087378907400E+00,  5.153839513021000E-04,  5.972949179275800E-01, -3.112928271679696E-03, -7.093850588628137E-02, -1.019148350052232E-01
        2102,  1.033569108969000E-01,  7.500000000000000E-01,  4.384738327198300E+00,  7.878135780173000E-04,  7.889406513770300E-01,  5.239090250432825E-04, -5.178803495968023E-02, -5.639211443717816E-02
        2103,  6.619833537833100E-02,  7.500000000000000E-01,  4.398087378907400E+00,  5.153839513021000E-04,  7.951549679551400E-01,  9.038324931702063E-04, -5.538539515626557E-02, -5.669587677877640E-02
